order_item_id,order_id,menu_item_id,item_name,category,quantity,unit_price,line_total
1,100000,41,Red Wine Glass,Beverage,1,9.05,9.05
2,100001,4,Buffalo Wings,Appetizer,1,7.5,7.5
3,100001,20,Chicken Alfredo,Entree,1,13.11,13.11
4,100002,15,Margherita Pizza,Entree,1,25.79,25.79
5,100002,21,Ribeye Steak,Entree,1,28.44,28.44
6,100002,20,Chicken Alfredo,Entree,1,12.99,12.99
7,100002,43,Sparkling Water,Beverage,1,4.77,4.77
8,100003,55,Mashed Potatoes,Side,2,6.82,13.64
9,100003,8,Deviled Eggs,Appetizer,1,6.68,6.68
10,100003,10,House Greens,Salad,1,8.61,8.61
11,100004,6,Spinach Artichoke Dip,Appetizer,1,11.11,11.11
12,100004,38,Craft Coffee,Beverage,2,8.21,16.42
13,100005,16,BBQ Chicken Pizza,Entree,2,23.28,46.56
14,100005,52,Side Rice,Side,1,4.34,4.34
15,100005,22,Salmon Bowl,Entree,1,25.92,25.92
16,100005,7,Mozzarella Sticks,Appetizer,1,12.5,12.5
17,100005,44,Milkshake,Beverage,1,5.22,5.22
18,100006,39,Espresso,Beverage,1,10.27,10.27
19,100006,16,BBQ Chicken Pizza,Entree,1,24.49,24.49
20,100007,6,Spinach Artichoke Dip,Appetizer,1,10.85,10.85
21,100007,27,Falafel Plate,Entree,1,15.35,15.35
22,100007,23,Veggie Stir Fry,Entree,1,20.29,20.29
23,100007,25,Short Rib Sandwich,Entree,1,32.32,32.32
24,100007,40,IPA Pint,Beverage,1,7.97,7.97
25,100008,34,Brownie Skillet,Dessert,1,11.66,11.66
26,100008,7,Mozzarella Sticks,Appetizer,1,12.84,12.84
27,100009,37,Lemonade,Beverage,1,9.52,9.52
28,100009,23,Veggie Stir Fry,Entree,1,19.41,19.41
29,100009,26,Shrimp Scampi,Entree,1,19.69,19.69
30,100009,35,House Soda,Beverage,1,6.17,6.17
31,100010,41,Red Wine Glass,Beverage,1,8.77,8.77
32,100010,37,Lemonade,Beverage,1,9.79,9.79
33,100010,28,Beef Ramen,Entree,1,15.11,15.11
34,100011,30,Cheesecake,Dessert,1,9.63,9.63
35,100012,26,Shrimp Scampi,Entree,2,19.53,39.06
36,100012,31,Apple Pie,Dessert,1,11.14,11.14
37,100012,15,Margherita Pizza,Entree,1,26.2,26.2
38,100013,4,Buffalo Wings,Appetizer,1,7.87,7.87
39,100013,18,Mushroom Swiss Burger,Entree,1,23.91,23.91
40,100013,17,Cheeseburger,Entree,1,17.05,17.05
41,100014,23,Veggie Stir Fry,Entree,1,19.99,19.99
42,100014,32,Ice Cream Sundae,Dessert,1,10.42,10.42
43,100015,20,Chicken Alfredo,Entree,1,13.74,13.74
44,100015,32,Ice Cream Sundae,Dessert,1,10.69,10.69
45,100016,28,Beef Ramen,Entree,1,14.73,14.73
46,100016,16,BBQ Chicken Pizza,Entree,1,22.91,22.91
47,100016,23,Veggie Stir Fry,Entree,1,20.03,20.03
48,100017,40,IPA Pint,Beverage,2,7.92,15.84
49,100017,4,Buffalo Wings,Appetizer,1,7.55,7.55
50,100017,16,BBQ Chicken Pizza,Entree,1,23.35,23.35
51,100017,26,Shrimp Scampi,Entree,1,19.23,19.23
52,100017,18,Mushroom Swiss Burger,Entree,1,24.88,24.88
53,100018,19,Fish Tacos,Entree,1,27.94,27.94
54,100018,30,Cheesecake,Dessert,2,10.07,20.14
55,100018,37,Lemonade,Beverage,1,10.05,10.05
56,100018,3,Loaded Nachos,Appetizer,1,8.14,8.14
57,100018,40,IPA Pint,Beverage,1,7.94,7.94
58,100019,57,Bruschetta (Vegan),Appetizer,1,13.02,13.02
59,100019,18,Mushroom Swiss Burger,Entree,2,24.98,49.96
60,100019,48,Kids Burger,Kids,1,7.36,7.36
61,100020,8,Deviled Eggs,Appetizer,1,6.65,6.65
62,100020,29,Chocolate Cake,Dessert,1,11.1,11.1
63,100020,26,Shrimp Scampi,Entree,1,19.89,19.89
64,100020,18,Mushroom Swiss Burger,Entree,1,25.25,25.25
