order_id,order_timestamp,channel,customer_id,server_id,party_size,table_no,promo_code,discount_amount,subtotal,tax,tip,delivery_fee,total,payment_method
100000,2026-02-08 21:53:40,Dine-In,504.0,19.0,6.0,16.0,,0.0,9.05,0.72,1.41,0.0,11.18,Card
100001,2026-02-13 12:15:52,Dine-In,,33.0,1.0,17.0,,0.0,20.61,1.65,4.35,0.0,26.61,Card
100002,2026-02-08 17:00:59,Dine-In,,13.0,2.0,7.0,,0.0,71.99,5.76,14.25,0.0,92.0,Card
100003,2026-02-27 12:33:53,Dine-In,,34.0,4.0,8.0,,0.0,28.93,2.31,6.28,0.0,37.52,Card
100004,2026-02-08 19:46:07,Dine-In,,10.0,2.0,14.0,,0.0,27.53,2.2,3.6,0.0,33.33,Cash
100005,2026-02-15 10:07:58,Dine-In,11.0,5.0,4.0,8.0,,0.0,94.54,7.56,13.16,0.0,115.26,Card
100006,2026-02-26 17:33:13,Delivery,,,,,,0.0,34.76,2.78,0.0,4.53,42.07,Card
100007,2026-02-22 13:28:29,Dine-In,370.0,9.0,4.0,36.0,,0.0,86.78,6.94,10.52,0.0,104.24,Card
100008,2026-02-20 14:33:42,Takeout,405.0,,,,,0.0,24.5,1.96,0.0,0.0,26.46,Gift Card
100009,2026-02-04 20:28:45,Takeout,775.0,,,,,0.0,54.79,4.38,3.03,0.0,62.2,Card
100010,2026-02-20 21:24:38,Takeout,637.0,,,,LUNCH5,5.0,33.67,2.29,0.0,0.0,30.96,Card
100011,2026-02-22 22:56:58,Dine-In,386.0,29.0,3.0,3.0,WELCOME10,0.96,9.63,0.69,1.47,0.0,10.83,Card
100012,2026-02-21 16:07:36,Takeout,702.0,,,,,0.0,76.4,6.11,8.33,0.0,90.84,Card
100013,2026-02-11 19:18:37,Dine-In,439.0,22.0,2.0,23.0,,0.0,48.83,3.91,6.04,0.0,58.78,Card
100014,2026-02-13 17:21:30,Takeout,,,,,,0.0,30.41,2.43,0.0,0.0,32.84,Card
100015,2026-02-18 13:31:27,Dine-In,,5.0,3.0,19.0,,0.0,24.43,1.95,4.38,0.0,30.76,Card
100016,2026-02-16 17:10:04,Takeout,308.0,,,,FAMILY15,6.92,57.67,4.06,0.0,0.0,54.81,Card
100017,2026-02-28 19:35:29,Dine-In,,35.0,5.0,28.0,,0.0,90.85,7.27,13.07,0.0,111.19,Card
100018,2026-02-01 19:24:27,Dine-In,280.0,3.0,2.0,17.0,,0.0,74.21,5.94,15.14,0.0,95.29,Apple Pay
100019,2026-02-07 18:44:32,Delivery,595.0,,,,,0.0,70.34,5.63,0.0,3.42,79.39,Card
100020,2026-02-28 15:16:55,Takeout,384.0,,,,,0.0,62.89,5.03,0.0,0.0,67.92,Card
100021,2026-02-01 20:24:24,Dine-In,,24.0,4.0,35.0,FAMILY15,9.87,82.23,5.79,14.64,0.0,92.79,Google Pay
100022,2026-02-14 14:53:21,Takeout,,,,,LUNCH5,5.0,56.48,4.12,4.64,0.0,60.24,Card
100023,2026-02-09 11:12:10,Dine-In,,9.0,4.0,21.0,,0.0,41.43,3.31,8.43,0.0,53.17,Card
100024,2026-02-01 09:35:41,Takeout,92.0,,,,FAMILY15,14.42,120.14,8.46,0.0,0.0,114.18,Card
100025,2026-02-14 11:40:52,Dine-In,419.0,13.0,5.0,2.0,,0.0,32.39,2.59,4.32,0.0,39.3,Card
100026,2026-02-20 19:15:45,Dine-In,,28.0,2.0,7.0,WEEKEND7,7.0,66.66,4.77,11.16,0.0,75.59,Card
100027,2026-02-26 10:11:16,Dine-In,,32.0,6.0,9.0,WEEKEND7,7.0,42.03,2.8,5.19,0.0,43.02,Card
100028,2026-02-13 20:27:59,Dine-In,169.0,21.0,2.0,32.0,WELCOME10,4.61,46.12,3.32,7.0,0.0,51.83,Card
100029,2026-02-24 20:56:07,Dine-In,,14.0,2.0,11.0,,0.0,51.03,4.08,8.03,0.0,63.14,Google Pay
100030,2026-02-03 13:45:45,Takeout,276.0,,,,,0.0,30.66,2.45,3.51,0.0,36.62,Card
100031,2026-02-01 11:28:38,Dine-In,246.0,26.0,7.0,26.0,,0.0,31.49,2.52,5.32,0.0,39.33,Card
